"tempo","jogador","resultado","pe_utilizado","regiao_quadra","regiao_baliza","periodo","gol"
"28:33","Mateus","Fora","Canhoto","Meia-Lua",NA,"1T",0
"29:06","Tomas","Defendido","Destro","Area",NA,"1T",0
"29:47","Tomas","Fora","Destro","Meia-Lua",NA,"1T",0
"30:51","Mateus","Fora","Canhoto","Meia-Lua",NA,"1T",0
"33:46","Jojo","Fora","Canhoto","Meia-Lua",NA,"1T",0
"36:08","Mateus","Fora","Canhoto","Meia-Lua",NA,"1T",0
"37:56","Tomas","Fora","Destro","Meia-Lua",NA,"1T",0
"39:04","Mateus","Defendido","Canhoto","Area",NA,"1T",0
"39:14","Luca","Defendido","Destro","Area",NA,"1T",0
"39:58","Tomas","Interceptado","Destro","Meia-Lua",NA,"1T",0
"40:27","Tomas","Fora","Destro","Meia-Lua",NA,"1T",0
"43:07","Tomas","Fora","Destro","Meia-Lua",NA,"1T",0
"44:12","Mateus","Defendido","Canhoto","Area",NA,"1T",0
"45:56","Mateus","Fora","Canhoto","Meia-Lua",NA,"1T",0
"46:44","Tomas","Interceptado","Destro","Area",NA,"1T",0
"47:42","Tomas","Gol","Destro","Area","Baixo Esquerdo","1T",1
"1:01:14","Mateus","Trave","Canhoto","Meia-Lua",NA,"2T",0
"1:02:18","Mateus","Fora","Canhoto","Meia-Lua",NA,"2T",0
"1:06:24","Mateus","Gol","Canhoto","Area","Baixo Esquerdo","2T",1
"1:08:31","Luca","Trave","Destro","Meia-Lua",NA,"2T",0
"1:13:41","Mateus","Fora","Canhoto","Meia-Lua",NA,"2T",0
"1:14:02","Luca","Gol","Destro","Area","Alto Direito","2T",1
"1:16:35","Mateus","Fora","Canhoto","Meia-Lua",NA,"2T",0
"1:17:19","Tomas","Gol","Destro","Area","Centro","2T",1
